title,artist,gen,feeling,,,,
Stitches,Shawn Mendes,pop,Rage,,,,
"Me, Myself & I",G-Eazy,hip hop,Optimism,,,,
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,Defeat,,,,
Dangerous Woman,Ariana Grande,dance pop,Rage,,,,
Starving,Hailee Steinfeld,dance pop,Euforia,,,,
Shout Out to My Ex,Little Mix,dance pop,Optimism,,,,
Electric Love,B0NS,electropop,Euforia,,,,
Confident,Demi Lovato,dance pop,Optimism,,,,
Too Good,Drake,hip hop,Rage,,,,
Roses,The Chainsmokers,electropop,Optimism,,,,
Cold Water (feat. Justin Bieber & M?,Major Lazer,dance pop,Optimism,,,,
Me Too,Meghan Trainor,dance pop,Joyful,,,,
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,Joyful,,,,
Ain't Your Mama,Jennifer Lopez,dance pop,Optimism,,,,
Close,Nick Jonas,dance pop,Joyful,,,,
Toothbrush,DNCE,dance pop,Joyful,,,,
All We Know,The Chainsmokers,electropop,Defeat,,,,
Final Song,M0,dance pop,Optimism,,,,
Life is Worth Living,Justin Bieber,pop,Nostalgia,,,,
Hands To Myself,Selena Gomez,dance pop,Joyful,,,,
All I Ask,Adele,soul,Optimism,,,,
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,Optimism,,,,
NO,Meghan Trainor,dance pop,Rage,,,,
Kill Em With Kindness,Selena Gomez,dance pop,Rage,,,,
Habits (Stay High),Tove Lo,dance pop,Defeat,,,,
Perfect Illusion,Lady Gaga,dance pop,Defeat,,,,
PILLOWTALK,ZAYN,dance pop,Rage,,,,
Out Of The Woods,Taylor Swift,pop,Euforia,,,,
Rise,Katy Perry,dance pop,Overcoming Fear,,,,
Wherever I Go,OneRepublic,dance pop,Defeat,,,,
Body Say,Demi Lovato,dance pop,Joyful,,,,
Don't Be A Fool,Shawn Mendes,pop,Rage,,,,
LIKE I WOULD,ZAYN,dance pop,Rage,,,,
Cheap Thrills,Sia,dance pop,Optimism,,,,
Cruel (feat. ZAYN),Snakehips,dance pop,Rage,,,,
Send My Love (To Your New Lover),Adele,soul,Nostalgia,,,,
WTF (Where They From),Missy Elliott,dance pop,Rage,,,,
Desire,Years & Years,dance pop,Joyful,,,,
When We Were Young,Adele,soul,Nostalgia,,,,
I Know What You Did Last Summer,Shawn Mendes,pop,Rage,,,,
Hurts,Emeli Sande,dance pop,Defeat,,,,
Change,Christina Aguilera,dance pop,Optimism,,,,
Make Me... (feat. G-Eazy),Britney Spears,dance pop,Rage,,,,
Keeping Your Head Up,Birdy,neo mellow,Optimism,,,,
True Colors,Zedd,electro house,Joyful,,,,
Make Me Like You,Gwen Stefani,dance pop,Defeat,,,,
Champagne Problems,Taylor Swift,dance pop,Nostalgia,,,,
Blown,DNCE,dance pop,Joyful,,,,
Start,John Legend,neo mellow,Nostalgia,,,,
Pep Rally,Missy Elliott,dance pop,Joyful,,,,
Higher,Carly Rae Jepsen,pop,Joyful,,,,
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,Nostalgia,,,,
Little Lies,Hilary Duff,dance pop,Defeat,,,,
Do You Wanna Come Over?,Britney Spears,dance pop,Joyful,,,,
BURNITUP!,Janet Jackson,dance pop,Joyful,,,,
Picky - Remix,Joey Montana,latin:reggaeton,Joyful,,,,
Behind Your Back,Nelly Furtado,pop,Chill,,,,
Million Years Ago,Adele,soul,Nostalgia,,,,
Shape of You,Ed Sheeran,pop,Joyful,,,,
Closer,The Chainsmokers,electropop,Joyful,,,,
Starboy,The Weeknd,r&b,Overcoming Fear,,,,
Treat You Better,Shawn Mendes,pop,Optimism,,,,
That's What I Like,Bruno Mars,pop,Joyful,,,,
Let Me Love You,DJ Snake,electronic trap,Joyful,,,,
I Feel It Coming,The Weeknd,r&b,Joyful,,,,
Mercy,Shawn Mendes,pop,Defeat,,,,
Side To Side,Ariana Grande,dance pop,Joyful,,,,
Stay,Zedd,electro house,Nostalgia,,,,
It Ain't Me (with Selena Gomez),Kygo,electropop,Defeat,,,,
Malibu,Miley Cyrus,dance pop,Optimism,,,,
Something Just Like This,The Chainsmokers,electropop,Nostalgia,,,,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,Optimism,,,,
I Don抰 Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,Optimism,,,,
My Way,Calvin Harris,dance pop,Optimism,,,,
